link_id,from_node,to_node,length,free_speed,type
0,0,1,10,10,dummy
1,0,9,0,10,dummy
2,1,2,20,10,physical
3,1,4,20,10,physical
4,1,5,20,10,physical
5,1,9,10,10,dummy
6,2,1,20,10,physical
7,2,6,40,10,physical
8,2,8,20,10,physical
9,3,6,10,10,physical
10,3,7,10,10,physical
12,4,1,20,10,physical
13,4,6,10,10,physical
14,4,7,10,10,physical
15,5,1,20,10,physical
16,5,7,40,10,physical
17,5,8,20,10,physical
19,6,2,40,10,physical
20,6,3,10,10,physical
21,6,4,10,10,physical
23,7,3,10,10,physical
24,7,4,10,10,physical
25,7,5,40,10,physical
26,8,2,20,10,physical
27,8,5,20,10,physical
28,6,10,10,10,dummy
29,5,11,10,10,dummy
30,3,12,10,10,dummy
31,8,13,10,10,dummy
32,4,14,10,10,dummy
33,10,6,10,10,dummy
34,11,5,10,10,dummy
35,12,3,10,10,dummy
36,13,8,10,10,dummy
37,14,4,10,10,dummy
